classifier,num_bands,OA,AA,Kappa,classifier_time_sec,selected_bands,experiment,run,train_time_sec,model_size_mb
rf,20,0.8356097560975609,0.8083133618169742,0.8113995634767345,4.584573745727539,"[4, 26, 36, 45, 53, 54, 79, 84, 92, 94, 101, 104, 105, 131, 135, 145, 153, 156, 179, 197]",exp9,4,20.327609062194824,53.904
svc,20,0.8404878048780487,0.8382374320574719,0.8190405464173753,2.385925769805908,"[4, 26, 36, 45, 53, 54, 79, 84, 92, 94, 101, 104, 105, 131, 135, 145, 153, 156, 179, 197]",exp9,4,20.327609062194824,53.904
knn,20,0.748780487804878,0.6863122825212953,0.7113439437731086,0.13100719451904297,"[4, 26, 36, 45, 53, 54, 79, 84, 92, 94, 101, 104, 105, 131, 135, 145, 153, 156, 179, 197]",exp9,4,20.327609062194824,53.904
rf,25,0.8409756097560975,0.8238566800401862,0.8176496975107805,5.633097887039185,"[4, 25, 26, 36, 37, 40, 45, 53, 54, 79, 84, 92, 94, 101, 104, 105, 131, 135, 145, 153, 156, 179, 180, 196, 197]",exp9,4,20.327609062194824,53.904
svc,25,0.8575609756097561,0.8735706648772958,0.8382033599426549,2.3541691303253174,"[4, 25, 26, 36, 37, 40, 45, 53, 54, 79, 84, 92, 94, 101, 104, 105, 131, 135, 145, 153, 156, 179, 180, 196, 197]",exp9,4,20.327609062194824,53.904
knn,25,0.7629268292682927,0.7235850897318654,0.7276745323890457,0.12561941146850586,"[4, 25, 26, 36, 37, 40, 45, 53, 54, 79, 84, 92, 94, 101, 104, 105, 131, 135, 145, 153, 156, 179, 180, 196, 197]",exp9,4,20.327609062194824,53.904
rf,30,0.8468292682926829,0.8188039605897097,0.8242656463499699,5.683868885040283,"[4, 25, 26, 36, 37, 40, 45, 53, 54, 79, 82, 84, 85, 92, 94, 101, 104, 105, 114, 128, 131, 135, 145, 153, 156, 171, 179, 180, 196, 197]",exp9,4,20.327609062194824,53.904
svc,30,0.8678048780487805,0.8650661679992627,0.8498168498168498,2.361090898513794,"[4, 25, 26, 36, 37, 40, 45, 53, 54, 79, 82, 84, 85, 92, 94, 101, 104, 105, 114, 128, 131, 135, 145, 153, 156, 171, 179, 180, 196, 197]",exp9,4,20.327609062194824,53.904
knn,30,0.7702439024390244,0.7107661044029304,0.736184560150494,0.13294625282287598,"[4, 25, 26, 36, 37, 40, 45, 53, 54, 79, 82, 84, 85, 92, 94, 101, 104, 105, 114, 128, 131, 135, 145, 153, 156, 171, 179, 180, 196, 197]",exp9,4,20.327609062194824,53.904
