classifier,num_bands,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,train_time_mean,model_size_mb_mean,experiment,num_runs
knn,20,0.7234146341463414,,0.603367182671003,,0.6824762454752148,,10.378215074539185,53.904,exp1-stability-mod,5
knn,25,0.74,,0.6427411214044658,,0.7014757776410507,,10.378215074539185,53.904,exp1-stability-mod,5
knn,30,0.7541463414634146,,0.6724547732663397,,0.7177456366950341,,10.378215074539185,53.904,exp1-stability-mod,5
rf,20,0.8419512195121951,,0.808948485396944,,0.818772465856809,,10.378215074539185,53.904,exp1-stability-mod,5
rf,25,0.8468292682926829,,0.814065937405474,,0.8243652852815817,,10.378215074539185,53.904,exp1-stability-mod,5
rf,30,0.8424390243902439,,0.8040900519203189,,0.8196261659330311,,10.378215074539185,53.904,exp1-stability-mod,5
svc,20,0.8492682926829268,,0.8907935950081343,,0.8289525344295636,,10.378215074539185,53.904,exp1-stability-mod,5
svc,25,0.8570731707317073,,0.9002778520869569,,0.8378641308704913,,10.378215074539185,53.904,exp1-stability-mod,5
svc,30,0.8653658536585366,,0.9089357136286002,,0.8472990307617695,,10.378215074539185,53.904,exp1-stability-mod,5
