classifier,num_bands,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,train_time_mean,model_size_mb_mean,experiment,dataset,num_runs,OA_ci,AA_ci,Kappa_ci
knn,10,0.9074265656752264,0.0071120270662811,0.9503020646173586,0.0069290917427715,0.8967984324236191,0.0079545448991963,62.80370869636536,230.19,exp1,KSC,5,0.006233966583384994,0.006073616702394468,0.0069724660248734385
knn,15,0.9100129318307776,0.0075153832278932,0.9530836249838824,0.0061477048558071,0.8997052390244693,0.0083908604088529,62.80370869636536,230.19,exp1,KSC,5,0.006587523847616146,0.005388700897570565,0.00735491343145145
knn,20,0.913966377239978,0.0068620567445547,0.9552869769209168,0.0050749632318093,0.9041231289131908,0.0076425669544556,62.80370869636536,230.19,exp1,KSC,5,0.0060148579357438055,0.004448401405697946,0.006699005299240454
knn,25,0.915536670977277,0.0084273842377602,0.9565201661385562,0.0055163069692686,0.9058715129514272,0.0093960522945677,62.80370869636536,230.19,exp1,KSC,5,0.007386927979031685,0.004835256248271849,0.008236002967112133
knn,30,0.9162202106041012,0.0060855783404156,0.9568191979978228,0.0048354455155646,0.906626119185078,0.0067835742193321,62.80370869636536,230.19,exp1,KSC,5,0.005334244605815297,0.004238454870725193,0.005946064969257924
knn,35,0.9135968963606134,0.004369121162768,0.956100391978946,0.004313358199215,0.9036940511174524,0.0048829678889856,62.80370869636536,230.19,exp1,KSC,5,0.0038297035533778104,0.0037808251607423216,0.004280110067634416
knn,40,0.913578422316645,0.0065082014392807,0.9562994490536376,0.0050931496180126,0.9036609128439644,0.0072740117042416,62.80370869636536,230.19,exp1,KSC,5,0.005704690085161497,0.004464342476057678,0.006375952378806818
rf,10,0.9403473120266026,0.0042802410367853,0.9678564304562332,0.0039267996697138,0.9334957080492934,0.0047779017857301,62.80370869636536,230.19,exp1,KSC,5,0.0037517966879877544,0.003441991670237481,0.004188015567622373
rf,15,0.9460003694808794,0.0027124464333676,0.9716316481980932,0.0025160655241003,0.9397957022667336,0.0030343262760069,62.80370869636536,230.19,exp1,KSC,5,0.0023775641272520283,0.002205428670710907,0.002659704249073565
rf,20,0.9479586181415112,0.0022489824930402,0.9729013195829176,0.0020933234223082,0.9419890305491336,0.0025093890487486,62.80370869636536,230.19,exp1,KSC,5,0.001971320071980775,0.0018348788807000648,0.002199576482038198
rf,25,0.9483280990208756,0.0021371283178544,0.9733054528443728,0.0012545060699065,0.9423984414024424,0.0023902223001831,62.80370869636536,230.19,exp1,KSC,5,0.0018732755645819886,0.0010996230533948383,0.002095122221461765
rf,30,0.9499722889340476,0.0026407222621437,0.9743751167681808,0.0017558684450741,0.9442312900756284,0.002950804900208,62.80370869636536,230.19,exp1,KSC,5,0.00231469511923733,0.0015390865514711568,0.0025864945353201918
rf,35,0.9495473859227784,0.0021989157175524,0.9741649191524429,0.0013561793947281,0.9437560605601036,0.0024549378071169,62.80370869636536,230.19,exp1,KSC,5,0.0019274346083260382,0.001188743651988248,0.002151847864361081
rf,40,0.949750600406429,0.0018147868745971,0.9742033612604633,0.0009949634274438,0.9439810862508058,0.0020289018355204,62.80370869636536,230.19,exp1,KSC,5,0.0015907308319792124,0.0008721238966850823,0.0017784108701679028
svc,10,0.9256050249399594,0.0059194826764195,0.9671647987147234,0.0042686101061855,0.9171926800974796,0.00660292557174,62.80370869636536,230.19,exp1,KSC,5,0.005188655337193706,0.0037416017278143615,0.005787719448082663
svc,15,0.9318861998891558,0.0016401892555451,0.9716024942943052,0.0013827819445877,0.9241909305041898,0.0018276183898595,62.80370869636536,230.19,exp1,KSC,5,0.0014376892711745381,0.001212061815053718,0.0016019781510085852
svc,20,0.936264548309625,0.0031071287994742,0.9736575932972292,0.0020497624454589,0.9290596849054272,0.003460070633264,62.80370869636536,230.19,exp1,KSC,5,0.0027235184745048767,0.0017966960009827436,0.003032885632028187
svc,25,0.9378717901348604,0.0038155721714155,0.9743602755851156,0.0020729223664176,0.9308389293917696,0.0042507949227515,62.80370869636536,230.19,exp1,KSC,5,0.0033444964693498825,0.0018169965667686762,0.0037259860310278614
svc,30,0.9398485128394606,0.0033294307263458,0.9754939819614912,0.0019918195435178,0.9330422239202716,0.0037064167357652,62.80370869636536,230.19,exp1,KSC,5,0.0029183747047503974,0.0017459068081016132,0.0032488175114526343
svc,35,0.9403473120266026,0.0036345069930317,0.9754942933398908,0.0019936194511248,0.9335906518844256,0.0040392469664969,62.80370869636536,230.19,exp1,KSC,5,0.003185785842837956,0.001747484496680502,0.003540556071638778
svc,40,0.9412710142250138,0.0028941522421946,0.976002217406436,0.0017171641575631,0.9346154187520443,0.0032221782047272,62.80370869636536,230.19,exp1,KSC,5,0.00253683629110598,0.0015051607476562023,0.0028243637245441953
knn,20,0.6926829268292682,,0.5729748259347666,,0.6470313326309489,,16.30162525177002,53.904,exp13,Indian_pines,2,,,
knn,25,0.6673170731707317,,0.5455664679899828,,0.6177936845880723,,16.30162525177002,53.904,exp13,Indian_pines,2,,,
knn,30,0.6902439024390243,,0.5872349562003316,,0.6438905237264521,,16.30162525177002,53.904,exp13,Indian_pines,2,,,
rf,20,0.8424390243902439,,0.8117829053920647,,0.8190116612633022,,16.30162525177002,53.904,exp13,Indian_pines,2,,,
rf,25,0.8507317073170731,,0.8115663726385494,,0.8285519375844873,,16.30162525177002,53.904,exp13,Indian_pines,2,,,
rf,30,0.8604878048780488,,0.8088036380749911,,0.839877079781798,,16.30162525177002,53.904,exp13,Indian_pines,2,,,
svc,20,0.8453658536585366,,0.8807525077308845,,0.8246233794833238,,16.30162525177002,53.904,exp13,Indian_pines,2,,,
svc,25,0.8419512195121951,,0.8504105130872183,,0.8203056751428532,,16.30162525177002,53.904,exp13,Indian_pines,2,,,
svc,30,0.8580487804878049,,0.8682475251926614,,0.8385307284238699,,16.30162525177002,53.904,exp13,Indian_pines,2,,,
knn,10,0.756,0.0584963276200542,0.712936726555985,0.0893498923238293,0.7203256187118099,0.0679523849847135,18.54549107551575,53.90400000000001,exp1,Indian_pines,5,0.05127429187707556,0.07831863374320064,0.059562891607149705
knn,15,0.771609756097561,0.0545124952247972,0.7175273106462751,0.1065009301118214,0.7383133745043178,0.0630517696798682,18.54549107551575,53.90400000000001,exp1,Indian_pines,5,0.04778230881874545,0.09335218120361888,0.055267312897491414
knn,20,0.7463414634146341,0.0582850285820589,0.663955062495458,0.1033380405148277,0.7088490000604242,0.067712145046781,18.54549107551575,53.90400000000001,exp1,Indian_pines,5,0.05108908010416073,0.09057978623509058,0.05935231201695577
knn,25,0.7639024390243903,0.0509365003432891,0.6998133000065148,0.07959034695515,0.7292326188698357,0.0589743094070972,18.54549107551575,53.90400000000001,exp1,Indian_pines,5,0.04464781110298603,0.06976401504864745,0.05169326138606686
knn,30,0.7607804878048781,0.0365977214908582,0.6971104918154849,0.0645998156334802,0.725629267540824,0.0423208846687779,18.54549107551575,53.90400000000001,exp1,Indian_pines,5,0.03207931728546424,0.05662423500344282,0.037095890995027886
