classifier,num_bands,OA,AA,Kappa,classifier_time_sec,selected_bands,experiment,run,train_time_sec,model_size_mb
rf,20,0.8278048780487804,0.7905657765420283,0.8024875137117854,4.855874538421631,"[25, 30, 31, 32, 65, 72, 74, 79, 84, 90, 105, 113, 117, 122, 125, 140, 165, 171, 175, 180]",exp11,4,31.08783197402954,53.904
svc,20,0.8507317073170731,0.8909674765134357,0.8306673724667253,2.0570597648620605,"[25, 30, 31, 32, 65, 72, 74, 79, 84, 90, 105, 113, 117, 122, 125, 140, 165, 171, 175, 180]",exp11,4,31.08783197402954,53.904
knn,20,0.7682926829268293,0.6859007371728862,0.7344183700938312,0.13453149795532227,"[25, 30, 31, 32, 65, 72, 74, 79, 84, 90, 105, 113, 117, 122, 125, 140, 165, 171, 175, 180]",exp11,4,31.08783197402954,53.904
rf,25,0.8317073170731707,0.8041235574110948,0.8070001173417456,5.816910028457642,"[25, 30, 31, 32, 65, 72, 74, 79, 84, 89, 90, 95, 105, 113, 117, 122, 125, 135, 140, 165, 168, 171, 173, 175, 180]",exp11,4,31.08783197402954,53.904
svc,25,0.8595121951219512,0.8867839759747801,0.8404673571461383,2.3211076259613037,"[25, 30, 31, 32, 65, 72, 74, 79, 84, 89, 90, 95, 105, 113, 117, 122, 125, 135, 140, 165, 168, 171, 173, 175, 180]",exp11,4,31.08783197402954,53.904
knn,25,0.7658536585365854,0.6961104887530116,0.7312707452703378,0.13857698440551758,"[25, 30, 31, 32, 65, 72, 74, 79, 84, 89, 90, 95, 105, 113, 117, 122, 125, 135, 140, 165, 168, 171, 173, 175, 180]",exp11,4,31.08783197402954,53.904
rf,30,0.8507317073170731,0.8074615658919092,0.8288693317910749,5.881453037261963,"[9, 18, 25, 30, 31, 32, 34, 65, 72, 74, 79, 84, 89, 90, 93, 95, 105, 113, 117, 122, 125, 135, 140, 164, 165, 168, 171, 173, 175, 180]",exp11,4,31.08783197402954,53.904
svc,30,0.8780487804878049,0.9148173694410705,0.8615395879256037,2.1462037563323975,"[9, 18, 25, 30, 31, 32, 34, 65, 72, 74, 79, 84, 89, 90, 93, 95, 105, 113, 117, 122, 125, 135, 140, 164, 165, 168, 171, 173, 175, 180]",exp11,4,31.08783197402954,53.904
knn,30,0.795609756097561,0.7418599017004661,0.7659292509272766,0.14021873474121094,"[9, 18, 25, 30, 31, 32, 34, 65, 72, 74, 79, 84, 89, 90, 93, 95, 105, 113, 117, 122, 125, 135, 140, 164, 165, 168, 171, 173, 175, 180]",exp11,4,31.08783197402954,53.904
