,mean_importance
0,0.0062037553
1,0.004453209
2,0.005103521
3,0.004772219
4,0.005458589
5,0.0044961646
6,0.005027189
7,0.0047596637
8,0.0048021427
9,0.004769149
10,0.004607043
11,0.0048787724
12,0.0049181953
13,0.004815857
14,0.0050226785
15,0.0047545936
16,0.0048239445
17,0.00486847
18,0.00472217
19,0.004919694
20,0.004881639
21,0.0049492996
22,0.0046990463
23,0.0051946724
24,0.0045972057
25,0.004949052
26,0.004854515
27,0.0047711013
28,0.004501016
29,0.005095967
30,0.005010887
31,0.004905048
32,0.0049126907
33,0.00499757
34,0.0050249808
35,0.0047130366
36,0.0051102294
37,0.004739732
38,0.005051756
39,0.004938189
40,0.0056380145
41,0.005140764
42,0.0045040236
43,0.0047804173
44,0.005059069
45,0.0046844706
46,0.0046018776
47,0.004838979
48,0.0050958917
49,0.004871498
50,0.0047442205
51,0.0047723064
52,0.005054868
53,0.004960307
54,0.0046844985
55,0.0048085824
56,0.004931598
57,0.0065545784
58,0.0048065
59,0.0049158
60,0.004913423
61,0.0045796083
62,0.0049066166
63,0.0048652515
64,0.0052603213
65,0.0049531655
66,0.0051310034
67,0.004918121
68,0.004604397
69,0.0049024555
70,0.004833975
71,0.00470519
72,0.005009704
73,0.005318721
74,0.0047749076
75,0.0049223593
76,0.0047569126
77,0.0048692627
78,0.0047280183
79,0.004512253
80,0.0050492417
81,0.004647757
82,0.004917467
83,0.004484647
84,0.004922336
85,0.0048991777
86,0.009040674
87,0.0047219926
88,0.004864111
89,0.0047709355
90,0.0049854526
91,0.0051668305
92,0.0052737263
93,0.004769238
94,0.008776561
95,0.0046603275
96,0.0043772953
97,0.004909998
98,0.0048209205
99,0.004866102
100,0.004841064
101,0.0047014533
102,0.004968317
103,0.0049592983
104,0.004587371
105,0.0046982877
106,0.004994689
107,0.010019759
108,0.004891382
109,0.0048410613
110,0.004602683
111,0.005858892
112,0.0047221817
113,0.0059053954
114,0.0047224746
115,0.004831095
116,0.004863053
117,0.005055853
118,0.004783645
119,0.00737339
120,0.00487852
121,0.004777223
122,0.004769504
123,0.0047830343
124,0.0047545037
125,0.004732275
126,0.0045051854
127,0.0047984384
128,0.005026575
129,0.005243412
130,0.0046600243
131,0.004917571
132,0.0042975727
133,0.0048650675
134,0.0050654095
135,0.004773287
136,0.0047190087
137,0.008974831
138,0.0047964896
139,0.005070321
140,0.0060464507
141,0.0059777033
142,0.0045586294
143,0.00590651
144,0.0047441013
145,0.0049600853
146,0.0048160953
147,0.004575454
148,0.0050108777
149,0.0049639484
150,0.004784477
151,0.0047772788
152,0.004824547
153,0.005134088
154,0.0046992498
155,0.004913248
156,0.004934835
157,0.004673811
158,0.0048434967
159,0.004830026
160,0.004714419
161,0.004748974
162,0.0048037274
163,0.004710487
164,0.004474804
165,0.004699196
166,0.0047510173
167,0.0047299415
168,0.004631278
169,0.004748623
170,0.0045743976
171,0.0048972815
172,0.004661703
173,0.004816803
174,0.0046828017
175,0.004822827
176,0.004807025
177,0.0048743864
178,0.004962064
179,0.0045823357
180,0.005073565
181,0.004935292
182,0.0046486123
183,0.0048318882
184,0.004672799
185,0.0048236577
186,0.004872118
187,0.004975319
188,0.0048148194
189,0.008882006
190,0.004892662
191,0.0047264067
192,0.0045512985
193,0.0047900155
194,0.0045278957
195,0.0052059274
196,0.004939073
197,0.0049623353
198,0.004753547
199,0.0049087447
