classifier,num_bands,OA,AA,Kappa,classifier_time_sec,selected_bands,experiment,run,train_time_sec,model_size_mb
rf,20,0.8326829268292683,0.772563314765119,0.8080732867166461,4.950685024261475,"[21, 36, 42, 50, 56, 62, 65, 68, 71, 79, 116, 118, 131, 143, 147, 152, 179, 182, 183, 187]",exp2-stability-mod-with-random-band-grps,4,17.187483072280884,53.904
svc,20,0.853170731707317,0.8874227318317424,0.8338083461849851,2.0884487628936768,"[21, 36, 42, 50, 56, 62, 65, 68, 71, 79, 116, 118, 131, 143, 147, 152, 179, 182, 183, 187]",exp2-stability-mod-with-random-band-grps,4,17.187483072280884,53.904
knn,20,0.7502439024390244,0.663635070929979,0.7126693227964152,0.14156579971313477,"[21, 36, 42, 50, 56, 62, 65, 68, 71, 79, 116, 118, 131, 143, 147, 152, 179, 182, 183, 187]",exp2-stability-mod-with-random-band-grps,4,17.187483072280884,53.904
rf,25,0.8312195121951219,0.7657920958264169,0.8063097738332778,6.1691765785217285,"[0, 21, 36, 40, 42, 50, 54, 56, 62, 65, 68, 71, 79, 83, 116, 118, 131, 143, 147, 152, 174, 179, 182, 183, 187]",exp2-stability-mod-with-random-band-grps,4,17.187483072280884,53.904
svc,25,0.8448780487804878,0.8877833745425784,0.8243994523223906,2.534339427947998,"[0, 21, 36, 40, 42, 50, 54, 56, 62, 65, 68, 71, 79, 83, 116, 118, 131, 143, 147, 152, 174, 179, 182, 183, 187]",exp2-stability-mod-with-random-band-grps,4,17.187483072280884,53.904
knn,25,0.7117073170731707,0.6286219615249491,0.6687642696833802,0.1301710605621338,"[0, 21, 36, 40, 42, 50, 54, 56, 62, 65, 68, 71, 79, 83, 116, 118, 131, 143, 147, 152, 174, 179, 182, 183, 187]",exp2-stability-mod-with-random-band-grps,4,17.187483072280884,53.904
rf,30,0.8468292682926829,0.8271021287134945,0.8246181419004615,6.053339242935181,"[0, 21, 30, 34, 36, 40, 42, 48, 50, 54, 56, 62, 65, 68, 71, 79, 83, 116, 118, 122, 131, 143, 147, 152, 166, 174, 179, 182, 183, 187]",exp2-stability-mod-with-random-band-grps,4,17.187483072280884,53.904
svc,30,0.8609756097560975,0.8942829121195015,0.8424433483721169,2.3360681533813477,"[0, 21, 30, 34, 36, 40, 42, 48, 50, 54, 56, 62, 65, 68, 71, 79, 83, 116, 118, 122, 131, 143, 147, 152, 166, 174, 179, 182, 183, 187]",exp2-stability-mod-with-random-band-grps,4,17.187483072280884,53.904
knn,30,0.7336585365853658,0.6567075132720666,0.6938318315328322,0.14173126220703125,"[0, 21, 30, 34, 36, 40, 42, 48, 50, 54, 56, 62, 65, 68, 71, 79, 83, 116, 118, 122, 131, 143, 147, 152, 166, 174, 179, 182, 183, 187]",exp2-stability-mod-with-random-band-grps,4,17.187483072280884,53.904
