classifier,num_bands,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,train_time_mean,model_size_mb_mean,experiment,dataset,num_runs
knn,10,0.9074265656752264,0.007112027066281136,0.9503020646173586,0.006929091742771502,0.8967984324236191,0.007954544899196397,62.803708696365355,230.19,exp1,KSC,5
knn,15,0.9100129318307777,0.007515383227893274,0.9530836249838824,0.006147704855807126,0.8997052390244693,0.008390860408852958,62.803708696365355,230.19,exp1,KSC,5
knn,20,0.9139663772399779,0.006862056744554771,0.9552869769209169,0.005074963231809322,0.9041231289131908,0.007642566954455625,62.803708696365355,230.19,exp1,KSC,5
knn,25,0.915536670977277,0.008427384237760219,0.9565201661385562,0.005516306969268621,0.9058715129514271,0.009396052294567702,62.803708696365355,230.19,exp1,KSC,5
knn,30,0.9162202106041013,0.0060855783404156465,0.9568191979978227,0.004835445515564699,0.906626119185078,0.006783574219332141,62.803708696365355,230.19,exp1,KSC,5
knn,35,0.9135968963606134,0.004369121162768081,0.956100391978946,0.004313358199215036,0.9036940511174523,0.004882967888985639,62.803708696365355,230.19,exp1,KSC,5
knn,40,0.913578422316645,0.006508201439280706,0.9562994490536376,0.005093149618012684,0.9036609128439643,0.007274011704241681,62.803708696365355,230.19,exp1,KSC,5
rf,10,0.9403473120266026,0.004280241036785345,0.9678564304562333,0.0039267996697138,0.9334957080492934,0.004777901785730163,62.803708696365355,230.19,exp1,KSC,5
rf,15,0.9460003694808794,0.0027124464333676645,0.9716316481980931,0.0025160655241003595,0.9397957022667336,0.0030343262760069434,62.803708696365355,230.19,exp1,KSC,5
rf,20,0.9479586181415112,0.002248982493040258,0.9729013195829177,0.002093323422308298,0.9419890305491336,0.002509389048748661,62.803708696365355,230.19,exp1,KSC,5
rf,25,0.9483280990208757,0.0021371283178544115,0.9733054528443729,0.0012545060699065038,0.9423984414024424,0.002390222300183167,62.803708696365355,230.19,exp1,KSC,5
rf,30,0.9499722889340477,0.002640722262143735,0.9743751167681809,0.001755868445074119,0.9442312900756283,0.002950804900208024,62.803708696365355,230.19,exp1,KSC,5
rf,35,0.9495473859227784,0.002198915717552416,0.9741649191524429,0.0013561793947281776,0.9437560605601035,0.002454937807116927,62.803708696365355,230.19,exp1,KSC,5
rf,40,0.949750600406429,0.001814786874597147,0.9742033612604631,0.0009949634274438244,0.9439810862508058,0.0020289018355204003,62.803708696365355,230.19,exp1,KSC,5
svc,10,0.9256050249399594,0.005919482676419535,0.9671647987147234,0.004268610106185537,0.9171926800974795,0.006602925571740034,62.803708696365355,230.19,exp1,KSC,5
svc,15,0.9318861998891558,0.0016401892555451716,0.9716024942943052,0.0013827819445877928,0.9241909305041898,0.0018276183898595412,62.803708696365355,230.19,exp1,KSC,5
svc,20,0.936264548309625,0.003107128799474272,0.9736575932972293,0.002049762445458916,0.9290596849054271,0.0034600706332640462,62.803708696365355,230.19,exp1,KSC,5
svc,25,0.9378717901348604,0.0038155721714155685,0.9743602755851157,0.00207292236641764,0.9308389293917696,0.004250794922751513,62.803708696365355,230.19,exp1,KSC,5
svc,30,0.9398485128394606,0.0033294307263458476,0.9754939819614913,0.0019918195435178667,0.9330422239202717,0.0037064167357652123,62.803708696365355,230.19,exp1,KSC,5
svc,35,0.9403473120266026,0.003634506993031727,0.9754942933398908,0.001993619451124866,0.9335906518844255,0.0040392469664969335,62.803708696365355,230.19,exp1,KSC,5
svc,40,0.9412710142250138,0.0028941522421946867,0.9760022174064359,0.001717164157563106,0.9346154187520443,0.0032221782047272764,62.803708696365355,230.19,exp1,KSC,5
