classifier,num_bands,OA,AA,Kappa,classifier_time_sec,selected_bands,experiment,dataset,run,train_time_sec,model_size_mb
knn,40,0.9178828745612414,0.958935363915858,0.9084561012626634,1.8321771621704102,"[3, 17, 33, 34, 40, 46, 50, 56, 58, 61, 62, 64, 78, 85, 86, 88, 89, 107, 108, 111, 114, 120, 121, 123, 124, 127, 129, 130, 136, 140, 143, 154, 166, 169, 171, 187, 193, 195, 197, 199]",exp1,KSC,0,62.93518018722534,230.19
rf,10,0.9447626085350083,0.9714970351099241,0.938425348705168,13.957130908966064,"[15, 37, 48, 59, 101, 150, 154, 172, 177, 199]",exp1,KSC,1,62.8134708404541,230.19
svc,10,0.9329392203953445,0.9721196058748343,0.9253664083544754,15.93983769416809,"[15, 37, 48, 59, 101, 150, 154, 172, 177, 199]",exp1,KSC,1,62.8134708404541,230.19
knn,10,0.9157583595048956,0.9583301479809038,0.9061021301503751,0.7580246925354004,"[15, 37, 48, 59, 101, 150, 154, 172, 177, 199]",exp1,KSC,1,62.8134708404541,230.19
rf,15,0.9477184555699243,0.9734851969619664,0.941721481223319,14.310685873031616,"[15, 21, 37, 47, 48, 59, 75, 101, 147, 150, 154, 171, 172, 177, 199]",exp1,KSC,1,62.8134708404541,230.19
svc,15,0.9329392203953445,0.9725821481797268,0.9253608113101456,17.59246015548706,"[15, 21, 37, 47, 48, 59, 75, 101, 147, 150, 154, 171, 172, 177, 199]",exp1,KSC,1,62.8134708404541,230.19
knn,15,0.9121559209310918,0.9569600633104662,0.9020842259745988,0.9494583606719971,"[15, 21, 37, 47, 48, 59, 75, 101, 147, 150, 154, 171, 172, 177, 199]",exp1,KSC,1,62.8134708404541,230.19
rf,20,0.949750600406429,0.974875698857383,0.9439927454443032,17.584863662719727,"[15, 21, 37, 47, 48, 59, 75, 98, 101, 136, 138, 147, 150, 154, 168, 171, 172, 177, 188, 199]",exp1,KSC,1,62.8134708404541,230.19
svc,20,0.9372806207278773,0.9742436210481302,0.9301836979277434,17.769821882247925,"[15, 21, 37, 47, 48, 59, 75, 98, 101, 136, 138, 147, 150, 154, 168, 171, 172, 177, 188, 199]",exp1,KSC,1,62.8134708404541,230.19
knn,20,0.9163125808239424,0.9588469165965088,0.906715038920615,1.658074140548706,"[15, 21, 37, 47, 48, 59, 75, 98, 101, 136, 138, 147, 150, 154, 168, 171, 172, 177, 188, 199]",exp1,KSC,1,62.8134708404541,230.19
rf,25,0.9481803066691299,0.9739052469615173,0.9422413674472894,21.600154399871826,"[15, 21, 36, 37, 47, 48, 52, 59, 75, 98, 101, 136, 138, 140, 147, 150, 154, 168, 171, 172, 177, 188, 193, 195, 199]",exp1,KSC,1,62.8134708404541,230.19
svc,25,0.9370958802881951,0.9741192598910643,0.9299722238103193,19.30971598625183,"[15, 21, 36, 37, 47, 48, 52, 59, 75, 98, 101, 136, 138, 140, 147, 150, 154, 168, 171, 172, 177, 188, 193, 195, 199]",exp1,KSC,1,62.8134708404541,230.19
knn,25,0.916035470164419,0.9585754009870697,0.9064053356078714,1.659531593322754,"[15, 21, 36, 37, 47, 48, 52, 59, 75, 98, 101, 136, 138, 140, 147, 150, 154, 168, 171, 172, 177, 188, 193, 195, 199]",exp1,KSC,1,62.8134708404541,230.19
rf,30,0.9527064474413449,0.9758663132664688,0.9472867649696457,21.155083894729614,"[15, 21, 27, 33, 36, 37, 47, 48, 52, 59, 75, 98, 101, 111, 132, 136, 138, 140, 147, 149, 150, 154, 168, 171, 172, 177, 188, 193, 195, 199]",exp1,KSC,1,62.8134708404541,230.19
svc,30,0.9404212082024755,0.9762645739265259,0.933678459847429,19.991562604904175,"[15, 21, 27, 33, 36, 37, 47, 48, 52, 59, 75, 98, 101, 111, 132, 136, 138, 140, 147, 149, 150, 154, 168, 171, 172, 177, 188, 193, 195, 199]",exp1,KSC,1,62.8134708404541,230.19
knn,30,0.9201921300572695,0.9604769964095048,0.9110381349484128,1.7763986587524414,"[15, 21, 27, 33, 36, 37, 47, 48, 52, 59, 75, 98, 101, 111, 132, 136, 138, 140, 147, 149, 150, 154, 168, 171, 172, 177, 188, 193, 195, 199]",exp1,KSC,1,62.8134708404541,230.19
rf,35,0.9521522261222982,0.9756260347682366,0.9466618156437159,21.200669765472412,"[13, 15, 21, 27, 33, 36, 37, 47, 48, 52, 59, 65, 75, 84, 87, 98, 101, 107, 111, 132, 136, 138, 140, 147, 149, 150, 154, 168, 171, 172, 177, 188, 193, 195, 199]",exp1,KSC,1,62.8134708404541,230.19
svc,35,0.9425457232588214,0.9767343402830396,0.9360257377152456,20.11461353302002,"[13, 15, 21, 27, 33, 36, 37, 47, 48, 52, 59, 65, 75, 84, 87, 98, 101, 107, 111, 132, 136, 138, 140, 147, 149, 150, 154, 168, 171, 172, 177, 188, 193, 195, 199]",exp1,KSC,1,62.8134708404541,230.19
knn,35,0.9168668021429891,0.9598646021799663,0.9073236612554549,1.7959353923797607,"[13, 15, 21, 27, 33, 36, 37, 47, 48, 52, 59, 65, 75, 84, 87, 98, 101, 107, 111, 132, 136, 138, 140, 147, 149, 150, 154, 168, 171, 172, 177, 188, 193, 195, 199]",exp1,KSC,1,62.8134708404541,230.19
rf,40,0.9526140772215038,0.9755857686829996,0.947178520864137,25.268378734588623,"[13, 15, 21, 27, 33, 36, 37, 47, 48, 52, 55, 56, 59, 65, 75, 84, 87, 92, 98, 101, 102, 107, 111, 132, 136, 138, 140, 147, 149, 150, 154, 168, 169, 171, 172, 177, 188, 193, 195, 199]",exp1,KSC,1,62.8134708404541,230.19
svc,40,0.9435617956770738,0.9771106890353409,0.9371549939914852,21.753286600112915,"[13, 15, 21, 27, 33, 36, 37, 47, 48, 52, 55, 56, 59, 65, 75, 84, 87, 92, 98, 101, 102, 107, 111, 132, 136, 138, 140, 147, 149, 150, 154, 168, 169, 171, 172, 177, 188, 193, 195, 199]",exp1,KSC,1,62.8134708404541,230.19
