classifier,num_bands,OA,AA,Kappa,classifier_time_sec,selected_bands,experiment,run,train_time_sec,model_size_mb
rf,20,0.8229268292682926,0.7637004700167864,0.7970241113480201,4.840802907943726,"[5, 8, 38, 41, 59, 69, 87, 109, 114, 124, 125, 127, 130, 136, 153, 163, 167, 169, 174, 188]",exp5,4,14.398898601531982,92.967
svc,20,0.8439024390243902,0.9055920542842943,0.8237027843941489,1.9222691059112549,"[5, 8, 38, 41, 59, 69, 87, 109, 114, 124, 125, 127, 130, 136, 153, 163, 167, 169, 174, 188]",exp5,4,14.398898601531982,92.967
knn,20,0.8092682926829269,0.7813494504449815,0.7820595191904811,0.13747739791870117,"[5, 8, 38, 41, 59, 69, 87, 109, 114, 124, 125, 127, 130, 136, 153, 163, 167, 169, 174, 188]",exp5,4,14.398898601531982,92.967
rf,25,0.8390243902439024,0.7906282649687728,0.8155267318535842,5.866353273391724,"[5, 8, 29, 38, 41, 59, 69, 85, 87, 98, 100, 109, 114, 124, 125, 127, 130, 136, 153, 163, 167, 169, 174, 186, 188]",exp5,4,14.398898601531982,92.967
svc,25,0.8746341463414634,0.9165459038932706,0.8579774435238954,1.8840558528900146,"[5, 8, 29, 38, 41, 59, 69, 85, 87, 98, 100, 109, 114, 124, 125, 127, 130, 136, 153, 163, 167, 169, 174, 186, 188]",exp5,4,14.398898601531982,92.967
knn,25,0.8253658536585365,0.8117728192589955,0.8005938439768419,0.14072585105895996,"[5, 8, 29, 38, 41, 59, 69, 85, 87, 98, 100, 109, 114, 124, 125, 127, 130, 136, 153, 163, 167, 169, 174, 186, 188]",exp5,4,14.398898601531982,92.967
rf,30,0.8419512195121951,0.7900891595117725,0.8187783499880632,5.862711191177368,"[5, 8, 29, 38, 41, 46, 47, 59, 69, 85, 87, 98, 100, 109, 111, 114, 124, 125, 127, 130, 136, 153, 163, 165, 167, 169, 172, 174, 186, 188]",exp5,4,14.398898601531982,92.967
svc,30,0.8795121951219512,0.9193789750737213,0.8634852497477167,2.055051803588867,"[5, 8, 29, 38, 41, 46, 47, 59, 69, 85, 87, 98, 100, 109, 111, 114, 124, 125, 127, 130, 136, 153, 163, 165, 167, 169, 172, 174, 186, 188]",exp5,4,14.398898601531982,92.967
knn,30,0.8268292682926829,0.8094794544829516,0.802086636421933,0.13636541366577148,"[5, 8, 29, 38, 41, 46, 47, 59, 69, 85, 87, 98, 100, 109, 111, 114, 124, 125, 127, 130, 136, 153, 163, 165, 167, 169, 172, 174, 186, 188]",exp5,4,14.398898601531982,92.967
