classifier,num_bands,OA,AA,Kappa,classifier_time_sec,selected_bands,experiment,run,train_time_sec,model_size_mb
rf,20,0.8292682926829268,0.7705507328612715,0.803904795299837,2.068385124206543,"[0, 6, 8, 13, 19, 42, 56, 66, 82, 95, 104, 105, 106, 108, 132, 145, 146, 168, 184, 195]",exp3,4,14.988048791885376,94.978
svc,20,0.7780487804878049,0.868769162906165,0.7504642929184027,2.5533721446990967,"[0, 6, 8, 13, 19, 42, 56, 66, 82, 95, 104, 105, 106, 108, 132, 145, 146, 168, 184, 195]",exp3,4,14.988048791885376,94.978
knn,20,0.7239024390243902,0.6742421010629136,0.6833624328069594,0.129746675491333,"[0, 6, 8, 13, 19, 42, 56, 66, 82, 95, 104, 105, 106, 108, 132, 145, 146, 168, 184, 195]",exp3,4,14.988048791885376,94.978
rf,25,0.8439024390243902,0.7837151190280918,0.8208683950682011,2.4107584953308105,"[0, 6, 8, 13, 19, 28, 42, 56, 66, 82, 95, 102, 104, 105, 106, 108, 120, 132, 145, 146, 156, 168, 180, 184, 195]",exp3,4,14.988048791885376,94.978
svc,25,0.791219512195122,0.8762369159237506,0.7648932011154577,2.707848072052002,"[0, 6, 8, 13, 19, 28, 42, 56, 66, 82, 95, 102, 104, 105, 106, 108, 120, 132, 145, 146, 156, 168, 180, 184, 195]",exp3,4,14.988048791885376,94.978
knn,25,0.7351219512195122,0.6760327958272184,0.6967762093198924,0.13518762588500977,"[0, 6, 8, 13, 19, 28, 42, 56, 66, 82, 95, 102, 104, 105, 106, 108, 120, 132, 145, 146, 156, 168, 180, 184, 195]",exp3,4,14.988048791885376,94.978
rf,30,0.8478048780487805,0.7799920959881216,0.8253047061754076,2.49139404296875,"[0, 1, 2, 6, 8, 10, 13, 19, 28, 42, 56, 62, 64, 66, 82, 95, 102, 104, 105, 106, 108, 120, 132, 145, 146, 156, 168, 180, 184, 195]",exp3,4,14.988048791885376,94.978
svc,30,0.7936585365853659,0.8772222515436379,0.767702395466078,2.926121234893799,"[0, 1, 2, 6, 8, 10, 13, 19, 28, 42, 56, 62, 64, 66, 82, 95, 102, 104, 105, 106, 108, 120, 132, 145, 146, 156, 168, 180, 184, 195]",exp3,4,14.988048791885376,94.978
knn,30,0.7248780487804878,0.6832330460055753,0.6846843652861541,0.14938783645629883,"[0, 1, 2, 6, 8, 10, 13, 19, 28, 42, 56, 62, 64, 66, 82, 95, 102, 104, 105, 106, 108, 120, 132, 145, 146, 156, 168, 180, 184, 195]",exp3,4,14.988048791885376,94.978
