classifier,num_bands,OA,AA,Kappa,classifier_time_sec,selected_bands,experiment,run,train_time_sec,model_size_mb
rf,20,0.8185365853658536,0.7376921225327016,0.791797146097466,5.0003063678741455,"[16, 17, 22, 26, 45, 50, 58, 79, 89, 90, 103, 104, 117, 118, 134, 139, 151, 155, 156, 193]",exp2,4,14.307873010635376,94.978
svc,20,0.7882926829268293,0.8583586569946015,0.76157411997884,2.500558614730835,"[16, 17, 22, 26, 45, 50, 58, 79, 89, 90, 103, 104, 117, 118, 134, 139, 151, 155, 156, 193]",exp2,4,14.307873010635376,94.978
knn,20,0.7751219512195122,0.7183496484136436,0.7424566968616807,0.12678956985473633,"[16, 17, 22, 26, 45, 50, 58, 79, 89, 90, 103, 104, 117, 118, 134, 139, 151, 155, 156, 193]",exp2,4,14.307873010635376,94.978
rf,25,0.8346341463414634,0.7905979748118694,0.8102111559627616,5.776261806488037,"[16, 17, 22, 26, 30, 45, 50, 58, 64, 79, 89, 90, 103, 104, 117, 118, 134, 139, 151, 155, 156, 164, 171, 186, 193]",exp2,4,14.307873010635376,94.978
svc,25,0.8185365853658536,0.8951033218508335,0.7953855222780519,2.49338960647583,"[16, 17, 22, 26, 30, 45, 50, 58, 64, 79, 89, 90, 103, 104, 117, 118, 134, 139, 151, 155, 156, 164, 171, 186, 193]",exp2,4,14.307873010635376,94.978
knn,25,0.7907317073170732,0.7439585643165649,0.7604396502410722,0.13489222526550293,"[16, 17, 22, 26, 30, 45, 50, 58, 64, 79, 89, 90, 103, 104, 117, 118, 134, 139, 151, 155, 156, 164, 171, 186, 193]",exp2,4,14.307873010635376,94.978
rf,30,0.8370731707317073,0.7622702462475072,0.813092633114515,5.8070619106292725,"[16, 17, 22, 26, 30, 45, 50, 58, 64, 68, 79, 86, 89, 90, 103, 104, 117, 118, 134, 137, 139, 151, 155, 156, 164, 171, 186, 188, 193, 197]",exp2,4,14.307873010635376,94.978
svc,30,0.8151219512195121,0.8943123750464556,0.7915762969711163,2.645599842071533,"[16, 17, 22, 26, 30, 45, 50, 58, 64, 68, 79, 86, 89, 90, 103, 104, 117, 118, 134, 137, 139, 151, 155, 156, 164, 171, 186, 188, 193, 197]",exp2,4,14.307873010635376,94.978
knn,30,0.7848780487804878,0.7465436143249701,0.7536626351136128,0.13553595542907715,"[16, 17, 22, 26, 30, 45, 50, 58, 64, 68, 79, 86, 89, 90, 103, 104, 117, 118, 134, 137, 139, 151, 155, 156, 164, 171, 186, 188, 193, 197]",exp2,4,14.307873010635376,94.978
