classifier,num_bands,OA,AA,Kappa,classifier_time_sec,selected_bands,experiment,run,train_time_sec,model_size_mb
rf,20,0.8419512195121951,0.792613829903712,0.8186960363437743,5.285437822341919,"[0, 12, 24, 37, 45, 58, 68, 83, 89, 95, 98, 108, 110, 128, 134, 138, 141, 173, 176, 189]",exp12,1,17.119239807128906,53.904
svc,20,0.8663414634146341,0.9036884754895609,0.8485740566409051,2.2061095237731934,"[0, 12, 24, 37, 45, 58, 68, 83, 89, 95, 98, 108, 110, 128, 134, 138, 141, 173, 176, 189]",exp12,1,17.119239807128906,53.904
knn,20,0.7785365853658537,0.7011838183882513,0.7460840413533527,0.13469338417053223,"[0, 12, 24, 37, 45, 58, 68, 83, 89, 95, 98, 108, 110, 128, 134, 138, 141, 173, 176, 189]",exp12,1,17.119239807128906,53.904
rf,25,0.8580487804878049,0.818097394848194,0.8373491857098493,5.911172389984131,"[0, 8, 12, 21, 24, 35, 37, 45, 58, 68, 83, 89, 95, 98, 108, 110, 128, 134, 135, 138, 141, 173, 176, 184, 189]",exp12,1,17.119239807128906,53.904
svc,25,0.8921951219512195,0.9206368540629999,0.8775661981635876,1.9545800685882568,"[0, 8, 12, 21, 24, 35, 37, 45, 58, 68, 83, 89, 95, 98, 108, 110, 128, 134, 135, 138, 141, 173, 176, 184, 189]",exp12,1,17.119239807128906,53.904
knn,25,0.7921951219512195,0.7139462701678421,0.7621827230772624,0.1342473030090332,"[0, 8, 12, 21, 24, 35, 37, 45, 58, 68, 83, 89, 95, 98, 108, 110, 128, 134, 135, 138, 141, 173, 176, 184, 189]",exp12,1,17.119239807128906,53.904
rf,30,0.864390243902439,0.8408674942936885,0.8446360875010428,5.99432373046875,"[0, 2, 8, 10, 12, 20, 21, 24, 35, 37, 45, 55, 58, 68, 83, 89, 95, 98, 108, 110, 123, 128, 134, 135, 138, 141, 173, 176, 184, 189]",exp12,1,17.119239807128906,53.904
svc,30,0.884390243902439,0.9173230606249696,0.8686900054405067,2.13818621635437,"[0, 2, 8, 10, 12, 20, 21, 24, 35, 37, 45, 55, 58, 68, 83, 89, 95, 98, 108, 110, 123, 128, 134, 135, 138, 141, 173, 176, 184, 189]",exp12,1,17.119239807128906,53.904
knn,30,0.7834146341463415,0.7336090092971721,0.7519711237926237,0.1565086841583252,"[0, 2, 8, 10, 12, 20, 21, 24, 35, 37, 45, 55, 58, 68, 83, 89, 95, 98, 108, 110, 123, 128, 134, 135, 138, 141, 173, 176, 184, 189]",exp12,1,17.119239807128906,53.904
