classifier,num_bands,OA,AA,Kappa,classifier_time_sec,selected_bands,experiment,run,train_time_sec,model_size_mb
rf,20,1.0,1.0,1.0,6.175060987472534,"[ 55 159  52 130 162  91 121 169  78   2  19  61 178 142  10  46 172  63
 111 174   5 136 124  75  98 154  47  69  76  20   1 102 109  59 198 127
  87  35 185  39  26  30 177 179  29 186 129  25  17  14  72 188  18 197
  97 146 153 126   8 171 163 175  13 184 180  53 132  71 156 122 161 112
 100 167 138 120 135  60  33 165  31  74 140  43   7 182 160 137 125  81
  65  28  64 107 134 195 113  54   9 114  21 199   3  44 157  73 152  15
  88  86 119 148 170 158 105  77  34  80 110  79   6 104  12 131  70  42
 173   4 191  16  94  40 103 141 189  32  95  96 128  58  38  93  92 194
  41  68 164 150 151 187  23  67  49 144  37 106  27  45 145  36 147 168
 139 123  22  24  82  50  90 116 118  51 193 101 181  66  48 117  85 108
 192  57 115 190  56 149 155 166 133  89  62   0  99  84  83 176  11 183
 196 143]",exp1,4,14.026142597198486,94.978
svc,20,0.8072007025075617,0.8978555835323951,0.7828266878918333,6.1135029792785645,"[ 55 159  52 130 162  91 121 169  78   2  19  61 178 142  10  46 172  63
 111 174   5 136 124  75  98 154  47  69  76  20   1 102 109  59 198 127
  87  35 185  39  26  30 177 179  29 186 129  25  17  14  72 188  18 197
  97 146 153 126   8 171 163 175  13 184 180  53 132  71 156 122 161 112
 100 167 138 120 135  60  33 165  31  74 140  43   7 182 160 137 125  81
  65  28  64 107 134 195 113  54   9 114  21 199   3  44 157  73 152  15
  88  86 119 148 170 158 105  77  34  80 110  79   6 104  12 131  70  42
 173   4 191  16  94  40 103 141 189  32  95  96 128  58  38  93  92 194
  41  68 164 150 151 187  23  67  49 144  37 106  27  45 145  36 147 168
 139 123  22  24  82  50  90 116 118  51 193 101 181  66  48 117  85 108
 192  57 115 190  56 149 155 166 133  89  62   0  99  84  83 176  11 183
 196 143]",exp1,4,14.026142597198486,94.978
knn,20,0.7829056493316421,0.7230589889708969,0.7508447031618466,0.6734724044799805,"[ 55 159  52 130 162  91 121 169  78   2  19  61 178 142  10  46 172  63
 111 174   5 136 124  75  98 154  47  69  76  20   1 102 109  59 198 127
  87  35 185  39  26  30 177 179  29 186 129  25  17  14  72 188  18 197
  97 146 153 126   8 171 163 175  13 184 180  53 132  71 156 122 161 112
 100 167 138 120 135  60  33 165  31  74 140  43   7 182 160 137 125  81
  65  28  64 107 134 195 113  54   9 114  21 199   3  44 157  73 152  15
  88  86 119 148 170 158 105  77  34  80 110  79   6 104  12 131  70  42
 173   4 191  16  94  40 103 141 189  32  95  96 128  58  38  93  92 194
  41  68 164 150 151 187  23  67  49 144  37 106  27  45 145  36 147 168
 139 123  22  24  82  50  90 116 118  51 193 101 181  66  48 117  85 108
 192  57 115 190  56 149 155 166 133  89  62   0  99  84  83 176  11 183
 196 143]",exp1,4,14.026142597198486,94.978
rf,25,1.0,1.0,1.0,7.245371341705322,"[ 55 159  52 130 162  91 121 169  78   2  19  61 178 142  10  46 172  63
 111 174   5 136 124  75  98 154  47  69  76  20   1 102 109  59 198 127
  87  35 185  39  26  30 177 179  29 186 129  25  17  14  72 188  18 197
  97 146 153 126   8 171 163 175  13 184 180  53 132  71 156 122 161 112
 100 167 138 120 135  60  33 165  31  74 140  43   7 182 160 137 125  81
  65  28  64 107 134 195 113  54   9 114  21 199   3  44 157  73 152  15
  88  86 119 148 170 158 105  77  34  80 110  79   6 104  12 131  70  42
 173   4 191  16  94  40 103 141 189  32  95  96 128  58  38  93  92 194
  41  68 164 150 151 187  23  67  49 144  37 106  27  45 145  36 147 168
 139 123  22  24  82  50  90 116 118  51 193 101 181  66  48 117  85 108
 192  57 115 190  56 149 155 166 133  89  62   0  99  84  83 176  11 183
 196 143]",exp1,4,14.026142597198486,94.978
svc,25,0.8203727192896868,0.9068964055308322,0.7975451453916885,6.31307053565979,"[ 55 159  52 130 162  91 121 169  78   2  19  61 178 142  10  46 172  63
 111 174   5 136 124  75  98 154  47  69  76  20   1 102 109  59 198 127
  87  35 185  39  26  30 177 179  29 186 129  25  17  14  72 188  18 197
  97 146 153 126   8 171 163 175  13 184 180  53 132  71 156 122 161 112
 100 167 138 120 135  60  33 165  31  74 140  43   7 182 160 137 125  81
  65  28  64 107 134 195 113  54   9 114  21 199   3  44 157  73 152  15
  88  86 119 148 170 158 105  77  34  80 110  79   6 104  12 131  70  42
 173   4 191  16  94  40 103 141 189  32  95  96 128  58  38  93  92 194
  41  68 164 150 151 187  23  67  49 144  37 106  27  45 145  36 147 168
 139 123  22  24  82  50  90 116 118  51 193 101 181  66  48 117  85 108
 192  57 115 190  56 149 155 166 133  89  62   0  99  84  83 176  11 183
 196 143]",exp1,4,14.026142597198486,94.978
knn,25,0.7904185774221876,0.7303129064948244,0.7594826895091947,0.6397247314453125,"[ 55 159  52 130 162  91 121 169  78   2  19  61 178 142  10  46 172  63
 111 174   5 136 124  75  98 154  47  69  76  20   1 102 109  59 198 127
  87  35 185  39  26  30 177 179  29 186 129  25  17  14  72 188  18 197
  97 146 153 126   8 171 163 175  13 184 180  53 132  71 156 122 161 112
 100 167 138 120 135  60  33 165  31  74 140  43   7 182 160 137 125  81
  65  28  64 107 134 195 113  54   9 114  21 199   3  44 157  73 152  15
  88  86 119 148 170 158 105  77  34  80 110  79   6 104  12 131  70  42
 173   4 191  16  94  40 103 141 189  32  95  96 128  58  38  93  92 194
  41  68 164 150 151 187  23  67  49 144  37 106  27  45 145  36 147 168
 139 123  22  24  82  50  90 116 118  51 193 101 181  66  48 117  85 108
 192  57 115 190  56 149 155 166 133  89  62   0  99  84  83 176  11 183
 196 143]",exp1,4,14.026142597198486,94.978
rf,30,1.0,1.0,1.0,7.416071176528931,"[ 55 159  52 130 162  91 121 169  78   2  19  61 178 142  10  46 172  63
 111 174   5 136 124  75  98 154  47  69  76  20   1 102 109  59 198 127
  87  35 185  39  26  30 177 179  29 186 129  25  17  14  72 188  18 197
  97 146 153 126   8 171 163 175  13 184 180  53 132  71 156 122 161 112
 100 167 138 120 135  60  33 165  31  74 140  43   7 182 160 137 125  81
  65  28  64 107 134 195 113  54   9 114  21 199   3  44 157  73 152  15
  88  86 119 148 170 158 105  77  34  80 110  79   6 104  12 131  70  42
 173   4 191  16  94  40 103 141 189  32  95  96 128  58  38  93  92 194
  41  68 164 150 151 187  23  67  49 144  37 106  27  45 145  36 147 168
 139 123  22  24  82  50  90 116 118  51 193 101 181  66  48 117  85 108
 192  57 115 190  56 149 155 166 133  89  62   0  99  84  83 176  11 183
 196 143]",exp1,4,14.026142597198486,94.978
svc,30,0.832861742609035,0.9163476488568332,0.8114854587051696,6.7592809200286865,"[ 55 159  52 130 162  91 121 169  78   2  19  61 178 142  10  46 172  63
 111 174   5 136 124  75  98 154  47  69  76  20   1 102 109  59 198 127
  87  35 185  39  26  30 177 179  29 186 129  25  17  14  72 188  18 197
  97 146 153 126   8 171 163 175  13 184 180  53 132  71 156 122 161 112
 100 167 138 120 135  60  33 165  31  74 140  43   7 182 160 137 125  81
  65  28  64 107 134 195 113  54   9 114  21 199   3  44 157  73 152  15
  88  86 119 148 170 158 105  77  34  80 110  79   6 104  12 131  70  42
 173   4 191  16  94  40 103 141 189  32  95  96 128  58  38  93  92 194
  41  68 164 150 151 187  23  67  49 144  37 106  27  45 145  36 147 168
 139 123  22  24  82  50  90 116 118  51 193 101 181  66  48 117  85 108
 192  57 115 190  56 149 155 166 133  89  62   0  99  84  83 176  11 183
 196 143]",exp1,4,14.026142597198486,94.978
knn,30,0.791004000390282,0.7395457856209346,0.7601467611736895,0.6459252834320068,"[ 55 159  52 130 162  91 121 169  78   2  19  61 178 142  10  46 172  63
 111 174   5 136 124  75  98 154  47  69  76  20   1 102 109  59 198 127
  87  35 185  39  26  30 177 179  29 186 129  25  17  14  72 188  18 197
  97 146 153 126   8 171 163 175  13 184 180  53 132  71 156 122 161 112
 100 167 138 120 135  60  33 165  31  74 140  43   7 182 160 137 125  81
  65  28  64 107 134 195 113  54   9 114  21 199   3  44 157  73 152  15
  88  86 119 148 170 158 105  77  34  80 110  79   6 104  12 131  70  42
 173   4 191  16  94  40 103 141 189  32  95  96 128  58  38  93  92 194
  41  68 164 150 151 187  23  67  49 144  37 106  27  45 145  36 147 168
 139 123  22  24  82  50  90 116 118  51 193 101 181  66  48 117  85 108
 192  57 115 190  56 149 155 166 133  89  62   0  99  84  83 176  11 183
 196 143]",exp1,4,14.026142597198486,94.978
