classifier,num_bands,OA,AA,Kappa,classifier_time_sec,selected_bands,experiment,dataset,run,train_time_sec,model_size_mb
svc,40,0.8829268292682927,0.9090072539778811,0.8670926545189713,2.088176965713501,"[7, 8, 14, 19, 34, 40, 43, 44, 48, 58, 69, 70, 74, 81, 82, 84, 89, 96, 99, 101, 104, 107, 113, 114, 115, 128, 129, 142, 158, 160, 161, 162, 164, 173, 179, 182, 183, 189, 190, 194]",exp1,Indian_pines,0,21.86536955833435,53.904
knn,40,0.8073170731707318,0.769882365081747,0.7795144935014297,0.1332852840423584,"[7, 8, 14, 19, 34, 40, 43, 44, 48, 58, 69, 70, 74, 81, 82, 84, 89, 96, 99, 101, 104, 107, 113, 114, 115, 128, 129, 142, 158, 160, 161, 162, 164, 173, 179, 182, 183, 189, 190, 194]",exp1,Indian_pines,0,21.86536955833435,53.904
rf,10,0.8190243902439024,0.7958865871956169,0.792373099983866,3.862006187438965,"[4, 16, 22, 32, 96, 112, 125, 135, 172, 177]",exp1,Indian_pines,1,17.36171531677246,53.904
svc,10,0.8307317073170731,0.8939101924585909,0.8088614553882879,1.867530345916748,"[4, 16, 22, 32, 96, 112, 125, 135, 172, 177]",exp1,Indian_pines,1,17.36171531677246,53.904
knn,10,0.786829268292683,0.751366552397513,0.7562677694494702,0.109161376953125,"[4, 16, 22, 32, 96, 112, 125, 135, 172, 177]",exp1,Indian_pines,1,17.36171531677246,53.904
rf,15,0.8268292682926829,0.7471831345191792,0.8014787818939919,3.821321725845337,"[4, 11, 16, 22, 25, 32, 96, 112, 125, 135, 154, 172, 177, 184, 191]",exp1,Indian_pines,1,17.36171531677246,53.904
svc,15,0.84,0.8932944727117738,0.819163261634238,1.9044172763824463,"[4, 11, 16, 22, 25, 32, 96, 112, 125, 135, 154, 172, 177, 184, 191]",exp1,Indian_pines,1,17.36171531677246,53.904
knn,15,0.7917073170731708,0.708864513783731,0.7618852021996818,0.14018654823303223,"[4, 11, 16, 22, 25, 32, 96, 112, 125, 135, 154, 172, 177, 184, 191]",exp1,Indian_pines,1,17.36171531677246,53.904
rf,20,0.848780487804878,0.790793706078682,0.8266212144154025,4.916146278381348,"[4, 7, 11, 16, 22, 25, 32, 53, 85, 88, 96, 112, 125, 135, 154, 172, 177, 178, 184, 191]",exp1,Indian_pines,1,17.36171531677246,53.904
svc,20,0.8726829268292683,0.9071161471053942,0.8555228584682966,1.755178689956665,"[4, 7, 11, 16, 22, 25, 32, 53, 85, 88, 96, 112, 125, 135, 154, 172, 177, 178, 184, 191]",exp1,Indian_pines,1,17.36171531677246,53.904
knn,20,0.8151219512195121,0.7825531459334298,0.7885337066847246,0.1262376308441162,"[4, 7, 11, 16, 22, 25, 32, 53, 85, 88, 96, 112, 125, 135, 154, 172, 177, 178, 184, 191]",exp1,Indian_pines,1,17.36171531677246,53.904
rf,25,0.8575609756097561,0.8207328323406706,0.8367703989962988,5.813547372817993,"[4, 7, 11, 16, 22, 25, 32, 51, 53, 85, 88, 93, 96, 112, 125, 127, 135, 144, 152, 154, 172, 177, 178, 184, 191]",exp1,Indian_pines,1,17.36171531677246,53.904
svc,25,0.8717073170731707,0.9126038860318437,0.8544880510979992,2.0339338779449463,"[4, 7, 11, 16, 22, 25, 32, 51, 53, 85, 88, 93, 96, 112, 125, 127, 135, 144, 152, 154, 172, 177, 178, 184, 191]",exp1,Indian_pines,1,17.36171531677246,53.904
knn,25,0.7678048780487805,0.7164084123602995,0.7340336369223892,0.128004789352417,"[4, 7, 11, 16, 22, 25, 32, 51, 53, 85, 88, 93, 96, 112, 125, 127, 135, 144, 152, 154, 172, 177, 178, 184, 191]",exp1,Indian_pines,1,17.36171531677246,53.904
rf,30,0.8570731707317073,0.8276450430229058,0.8361479030805231,5.758199453353882,"[4, 7, 11, 16, 22, 25, 32, 44, 51, 53, 62, 85, 88, 93, 96, 101, 112, 125, 127, 135, 144, 152, 154, 172, 176, 177, 178, 184, 191, 194]",exp1,Indian_pines,1,17.36171531677246,53.904
svc,30,0.8751219512195122,0.9045542934689497,0.858229369104484,2.064227819442749,"[4, 7, 11, 16, 22, 25, 32, 44, 51, 53, 62, 85, 88, 93, 96, 101, 112, 125, 127, 135, 144, 152, 154, 172, 176, 177, 178, 184, 191, 194]",exp1,Indian_pines,1,17.36171531677246,53.904
knn,30,0.7804878048780488,0.7611250046241362,0.7487295521012338,0.13465595245361328,"[4, 7, 11, 16, 22, 25, 32, 44, 51, 53, 62, 85, 88, 93, 96, 101, 112, 125, 127, 135, 144, 152, 154, 172, 176, 177, 178, 184, 191, 194]",exp1,Indian_pines,1,17.36171531677246,53.904
rf,35,0.8614634146341463,0.832335972307569,0.8413720365220315,5.869548559188843,"[4, 7, 11, 16, 19, 22, 25, 31, 32, 34, 44, 51, 53, 56, 62, 85, 88, 93, 96, 101, 112, 125, 127, 135, 144, 147, 152, 154, 172, 176, 177, 178, 184, 191, 194]",exp1,Indian_pines,1,17.36171531677246,53.904
svc,35,0.8926829268292683,0.9216724897627786,0.877921658186598,1.9542536735534668,"[4, 7, 11, 16, 19, 22, 25, 31, 32, 34, 44, 51, 53, 56, 62, 85, 88, 93, 96, 101, 112, 125, 127, 135, 144, 147, 152, 154, 172, 176, 177, 178, 184, 191, 194]",exp1,Indian_pines,1,17.36171531677246,53.904
knn,35,0.786829268292683,0.7346691327661938,0.7559309048932877,0.12769651412963867,"[4, 7, 11, 16, 19, 22, 25, 31, 32, 34, 44, 51, 53, 56, 62, 85, 88, 93, 96, 101, 112, 125, 127, 135, 144, 147, 152, 154, 172, 176, 177, 178, 184, 191, 194]",exp1,Indian_pines,1,17.36171531677246,53.904
rf,40,0.8634146341463415,0.833455806753276,0.8433657480731804,6.756730556488037,"[4, 7, 11, 16, 19, 22, 25, 31, 32, 34, 44, 51, 53, 56, 62, 73, 85, 88, 93, 96, 101, 112, 115, 125, 127, 135, 143, 144, 147, 152, 154, 158, 172, 176, 177, 178, 184, 191, 194, 199]",exp1,Indian_pines,1,17.36171531677246,53.904
svc,40,0.8917073170731707,0.9115245331229258,0.8768310254825269,2.506084442138672,"[4, 7, 11, 16, 19, 22, 25, 31, 32, 34, 44, 51, 53, 56, 62, 73, 85, 88, 93, 96, 101, 112, 115, 125, 127, 135, 143, 144, 147, 152, 154, 158, 172, 176, 177, 178, 184, 191, 194, 199]",exp1,Indian_pines,1,17.36171531677246,53.904
