classifier,num_bands,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,train_time_mean,model_size_mb_mean,experiment,dataset,num_runs
knn,10,0.752,0.0336507590872852,0.6920971902597909,0.05822534616697397,0.7156308074866241,0.039308857717678586,18.261548137664796,53.90400000000001,exp1,Indian_pines,5
knn,15,0.7678048780487805,0.02239922238813438,0.7060663664146622,0.04873821584783895,0.7338424596263572,0.026204216617370622,18.261548137664796,53.90400000000001,exp1,Indian_pines,5
knn,20,0.7764878048780488,0.03039576350454764,0.7403939823695206,0.054236050384943064,0.7439116770961081,0.0353928823265134,18.261548137664796,53.90400000000001,exp1,Indian_pines,5
knn,25,0.7625365853658537,0.029742899912104086,0.6984395720783428,0.06585292320662463,0.7276262223197076,0.03472611394055175,18.261548137664796,53.90400000000001,exp1,Indian_pines,5
knn,30,0.7705365853658537,0.02908192698390132,0.7118029897595239,0.07769975347196004,0.7368485374768932,0.03414737281862711,18.261548137664796,53.90400000000001,exp1,Indian_pines,5
knn,35,0.767609756097561,0.05221403805850279,0.7047198742194862,0.09431725612466921,0.7334265862497829,0.06086516562653273,18.261548137664796,53.90400000000001,exp1,Indian_pines,5
knn,40,0.7585365853658537,0.034573977277984135,0.6820244428105608,0.06843330166787072,0.7229768349815562,0.04017111873289974,18.261548137664796,53.90400000000001,exp1,Indian_pines,5
rf,10,0.8039999999999999,0.021101155763108403,0.7642246972775532,0.0343882796881266,0.7750311103175218,0.02438849647331044,18.261548137664796,53.90400000000001,exp1,Indian_pines,5
rf,15,0.8257560975609757,0.009135115061464631,0.7760238360002223,0.020816984610698027,0.8001204981597161,0.010623169258527585,18.261548137664796,53.90400000000001,exp1,Indian_pines,5
rf,20,0.8379512195121951,0.006410505951609571,0.7877956719561023,0.019591439225614224,0.8142387115052172,0.007367167246101766,18.261548137664796,53.90400000000001,exp1,Indian_pines,5
rf,25,0.8416585365853658,0.011301924259570413,0.8036316527886648,0.030533198296110446,0.8185088423294576,0.012984788588366011,18.261548137664796,53.90400000000001,exp1,Indian_pines,5
rf,30,0.8458536585365855,0.009014496884183583,0.8091440259937951,0.02670217188366692,0.8232293845454874,0.010425702403271347,18.261548137664796,53.90400000000001,exp1,Indian_pines,5
rf,35,0.8508292682926829,0.012074525669227067,0.8086909500468392,0.03562949998601858,0.8290060230985643,0.01396959704698401,18.261548137664796,53.90400000000001,exp1,Indian_pines,5
rf,40,0.8542439024390245,0.008823741701147345,0.8218573074075763,0.03192344245181144,0.8329248333018702,0.010148050550606821,18.261548137664796,53.90400000000001,exp1,Indian_pines,5
svc,10,0.799609756097561,0.03227521449275341,0.8467290822580971,0.03443278478328631,0.7735880245886667,0.0362642330979613,18.261548137664796,53.90400000000001,exp1,Indian_pines,5
svc,15,0.8359024390243903,0.017172533164924023,0.8810547036547657,0.02524633816068578,0.8142953631776166,0.019374784939012027,18.261548137664796,53.90400000000001,exp1,Indian_pines,5
svc,20,0.8569756097560977,0.012930970344531771,0.8933054786838193,0.014291176697488611,0.837847619225464,0.014748425911115484,18.261548137664796,53.90400000000001,exp1,Indian_pines,5
svc,25,0.8611707317073171,0.011851751327046321,0.893610032554981,0.014635810874210061,0.8425169953404238,0.013343563177925715,18.261548137664796,53.90400000000001,exp1,Indian_pines,5
svc,30,0.8697560975609756,0.006526384468419352,0.9003599098882635,0.01193653803998627,0.8521915086426721,0.007396995995874517,18.261548137664796,53.90400000000001,exp1,Indian_pines,5
svc,35,0.8808780487804878,0.015237169244689625,0.9104389779913508,0.021196673431874462,0.8646726967631304,0.017350999369025195,18.261548137664796,53.90400000000001,exp1,Indian_pines,5
svc,40,0.8822439024390244,0.010311045924382728,0.9048686187183831,0.017953605125299605,0.8661739326324263,0.011705819478799647,18.261548137664796,53.90400000000001,exp1,Indian_pines,5
